iter	MultiClassOneVsAll
0	-0.6810976436
1	-0.669673595
2	-0.6584136569
3	-0.6478447614
4	-0.6376923258
5	-0.6282825403
6	-0.6190616986
7	-0.6107146359
8	-0.6022535995
9	-0.5945497148
10	-0.5872505359
11	-0.5806081647
12	-0.573925323
13	-0.5676028488
14	-0.5618123767
15	-0.5558193129
16	-0.550072566
17	-0.5449016217
18	-0.5396799231
19	-0.5350699144
20	-0.5304616012
21	-0.5258731038
22	-0.521545787
23	-0.5173058191
24	-0.5133353048
25	-0.509469695
26	-0.5059230613
27	-0.5023433068
28	-0.4991273508
29	-0.4958898949
30	-0.4927848356
31	-0.4899993386
32	-0.4872364952
33	-0.484566909
34	-0.4818930204
35	-0.4793325685
36	-0.4767918613
37	-0.474358831
38	-0.4726092724
39	-0.4704328567
40	-0.4683497087
41	-0.4662562523
42	-0.4643772468
43	-0.462616561
44	-0.4609098961
45	-0.4593755153
46	-0.4578009332
47	-0.4565505608
48	-0.4552456494
49	-0.4538733704
50	-0.4525118791
51	-0.4511486121
52	-0.4499478159
53	-0.4485411489
54	-0.4473395579
55	-0.4461319547
56	-0.4449335029
57	-0.4437633569
58	-0.442869013
59	-0.441768063
60	-0.4406936397
61	-0.4396978585
62	-0.4388237072
63	-0.4379736941
64	-0.4368900584
65	-0.4361139699
66	-0.4352219615
67	-0.4343408101
68	-0.4334859542
69	-0.4328343786
70	-0.4320153748
71	-0.4314258962
72	-0.4308124949
73	-0.4301981654
74	-0.4296295306
75	-0.4289605957
76	-0.4283123312
77	-0.4278128844
78	-0.4272642364
79	-0.4267871589
80	-0.4262476517
81	-0.4257537791
82	-0.4251220235
83	-0.4246071519
84	-0.423993571
85	-0.4235263874
86	-0.4229411467
87	-0.422644507
88	-0.4222050536
89	-0.4217106399
90	-0.421349992
91	-0.4209240798
92	-0.4205972751
93	-0.4203267524
94	-0.4199521927
95	-0.4194257803
96	-0.4190153691
97	-0.4185037028
98	-0.4181482935
99	-0.417736312
100	-0.4173612876
101	-0.4169742149
102	-0.4166358084
103	-0.4162681408
104	-0.4158369236
105	-0.4154857697
106	-0.4151275167
107	-0.4148819528
108	-0.4145338355
109	-0.414248759
110	-0.413843747
111	-0.4136267875
112	-0.4134185512
113	-0.4131808385
114	-0.4128896021
115	-0.4125618935
116	-0.41236403
117	-0.4120749745
118	-0.4117222235
119	-0.4114483817
120	-0.4112020693
121	-0.4109772556
122	-0.4107030458
123	-0.4104584527
124	-0.410175789
125	-0.4099157974
126	-0.4095929044
127	-0.4094540613
128	-0.4092261794
129	-0.4089173678
130	-0.4086771676
131	-0.4084349075
132	-0.4081002892
133	-0.4079283462
134	-0.4076729733
135	-0.4074726062
136	-0.4072824325
137	-0.4070351568
138	-0.4068529927
139	-0.4065375133
140	-0.4063545381
141	-0.4061928048
142	-0.4059829662
143	-0.4057644664
144	-0.4055912482
145	-0.4054005351
146	-0.4050970734
147	-0.4048870505
148	-0.4047143526
149	-0.4045252103
150	-0.4043909186
151	-0.4041851439
152	-0.4040040874
153	-0.4038308659
154	-0.403695607
155	-0.4034354285
156	-0.4032814302
157	-0.4031711005
158	-0.4029645096
159	-0.4027736317
160	-0.4026497828
161	-0.4024781645
